Id_coach, gender, name, country, birthday, points
110, male, CHANG Jung-San, Taiwan, 02-01-1967,760.3
111, female, KIM Yeon-Ji, Korea, 12-05-1981,754
112,, TZIDIMOPOULOS, Kostas, 11-11-1111,753
113,, ABDELALEEM Mohamed, , 11-11-1111,736
114, male, JUNG Woo-Yong, Canada, 15-01-1963,731
115,, ALDEMIR Ercan, Turkey, 11-11-1111,728.5
116,, TOTH Balazs, Germany, 31-08-1983,726
117, female, ZARE Neda, Iran, 11-11-1111,724
118,, OH Joung-Joo, Greece, 11-11-1111,720
119, male, LYONS Paul, Australia, 31-03-1969,714
120,, JUN Chong-Ok, Korea, 11-11-1111,696.8
121,, KRAMER Stig, Denmark, 11-11-1111,695
122, male, REMARCK Patrice, Cote d'Ivoire, 17-03-1962,691
123,, KIM Young-Soo, Korea, 11-11-1111,690
124, male, ROSARIO del Manuel Mansour, Philippines, 11-05-1965,689
125,, SUNG Ching-Hung, , 11-11-1111,687
126, male, KIM Chul-Hoe, United States of America, 11-11-1111,681
127,, GARCIA MARIN Rafael, , 11-11-1111,675
128,, KIM Kil-Son, Korea, 11-11-1111,670
129,, SONG Jo-Shin, Korea, 11-11-1111,670
130,, PALKIN Alexey, Russian Federation, 07-05-1957,670
131,, KANG Shin-Chul, Korea, 11-11-1111,668
132,, ANDRADE Ricardo, Brazil, 11-11-1111,667
133,, VIDAL Juan, Dominican Republic, 11-11-1111,659.3
134,, YARI Mohammad Reza, Iran, 11-11-1111,651.5
135,, KIM Hung-Ki, Venezuela, 09-04-1961,649
136,, LITVINENKO Andriy, Ukraine, 02-03-1976,648
137, male, RAMAZANOGLU Nusret, Turkey, 11-11-1111,645
138,, JOHANSSON Kari, Finland, 11-11-1111,636
139,, LAURA Veljko, Hrvatska, 12-08-1984,636
140, male, KRICKA Niko, Switzerland, 19-01-1981,635
141, male, STANCZAK Patrick, France, 16-11-1955,633
142,, RAMOS Julio Cesar, , 23-01-1968,633
143,, KIM In-Su, , 11-11-1111,630
144,, KANG Son-Chong, Korea, 11-11-1111,630
145, female, TAGHIPOUR TEHRANI Parvaneh Mohammad, Iran, 11-11-1111,622
146,, BERNIER Alain, Canada, 23-01-1962,620.8
147,, KIM Jong-Hae, Korea, 11-11-1111,605
148, male, PEIXOTO Joaquim, Portugal, 14-05-1971,604
149,, PARK Hyon-Chong, Korea, 11-11-1111,600
150, female, LOVE Lynette, United States of America, 21-09-1957,595.8
151,, HARTNETT Ross, Australia, 16-09-1960,595
152, male, DUJIC Marin, Serbia and Montenegro, 24-09-1975,585.5
153,, YU Su-Chol, Korea, 11-11-1111,585
154,, AZARMEHR Maryam, Iran, 11-11-1111,583
155,, KIM Seong-Hoon, Venezuela, 22-05-1972,581
156, female, KITCHELL Jamie, Canada, 11-11-1111,571
157,, SZTANTMAN Oury, , 11-11-1111,571
158,, ONOFRE Jose Luis, , 11-11-1111,570
159, male, GONZALES Alejandro, Argentina, 04-07-1962,569
160,, KIM Yong-Hae, Korea, 11-11-1111,565
161,, YILDIZ Fahrettin, , 11-11-1111,563.3
162,, SOLTANI Morteza, Iran, 11-11-1111,559.3
163, male, PILAVAKIS Andreas, Cyprus, 10-07-1960,559
164,, GLAZOV Kostyantyn, Ukraine, 11-11-1111,559
165,, FREZOULS Yvan, France, 11-03-1965,554.3
166,, MOON Won-Jae, , 11-11-1111,545
167,, PARK Sang-Man, , 11-11-1111,545
168, male, LO PINTO Giovanni, Italy, 11-11-1111,543.8
169, male, KHALIL Ali, Australia, 14-09-1982,540
170,, TOMAS Toni, Hrvatska, 17-12-1980,535
171, male, BLOCH Aviad, Israel, 13-05-1977,529.8
172,, OH Jin-Keun, Korea, 11-11-1111,528
173, male, BREGES Hrvoje, Hrvatska, 04-06-1976,527.8
174,, LASHPANOV Alexander, Russian Federation, 12-04-1962,527
175, male, ALVAREZ Julio, Mexico, 13-10-1968,521
176,, LEE Soon-Man, , 11-11-1111,519
177, male, SCHEFFLER Lukasz, Poland, 06-04-1983,517.5
178,, CHOI Joon-Pyo, , 11-11-1111,514
179,, KRNETIC Vlado, , 11-11-1111,514
180, male, PUPPO Ricardo, Argentina, 06-06-1957,512
181, male, DIGHOU Karim, Belgium, 23-08-1970,499
182,, KANG Son-Chang, Korea, 11-11-1111,492
183,, GOTSIS Alekos, Greece, 11-11-1111,491.3
184, male, ALONSO Rosendo, Spain, 03-10-1978,490
185, male, ROESEN Jesper, Denmark, 02-05-1975,489
186,, LAKOMY Waldemar, Poland, 28-06-1974,488.5
187,, CHEON Young-In, United States of America, 11-11-1111,488
188, male, TRANSKI Plamen, Bulgaria, 26-06-1977,486
189,, CHONG Kuk-Hwan, Korea, 11-11-1111,486
190,, KANG Song-Chol, Korea, 11-11-1111,486
191,, SAFARIAN Niloufar, Iran, 11-11-1111,483.5
192,, BABAK Yuriy, Ukraine, 11-11-1111,482
193, male, KIM Hyun-Il, Korea, 17-04-1966,480
194, male, KIM Bong-Keun, Korea, 11-11-1111,480
195,, BUN Won-Chae, Korea, 11-11-1111,480
196,, LIOU Ching-Wen, , 11-11-1111,477
197,, CHO Lim-Hyeong, , 11-11-1111,476
198, male, TSIOULOS Nicholas, Australia, 11-11-1111,473
199, male, AMHAND Abdenbi, Morocco, 20-12-1958,466
200,, STANZMANN Oury, , 11-11-1111,465
201,, LEE Seung-Kuk, Korea, 11-11-1111,465
202, male, NASERI Vahid, Iran, 11-11-1111,463
203, male, SMIRNOV Alexander, Russian Federation, 14-08-1995,461
204, male, TAZEGÜL Servet, Turkey, 26-09-1988,457
205,, KWON Hyok-Sung, Korea, 11-11-1111,456
206, male, SALAH BAYOUMI Tamer, Egypt, 12-04-1982,450
207,, LIKHADZLEVSKI Anatoli, , 08-05-1967,450
208,, PANTAR Dusan, , 11-11-1111,448
209,, LU Xiudong, , 22-01-1971,447.3
210, male, KIM Jung-Ho, Korea, 11-11-1111,446
211,, KANG Gu-Hwan, Korea, 11-11-1111,446
212, female, LIMAS Arlene, United States of America, 09-02-1966,444
213, male, TARABURELLI Gabriel Alberto, Argentina, 21-04-1981,442
214,, MOHAMMADNEJAD Mahbobeh, Iran, 11-11-1111,441
215, male, CICEK Musa, Germany, 19-09-1967,440.3
216, male, PADROS VEGA Juan Jose, Andorra, 24-07-1971,440
217,, KHAN Stanislav, Russian Federation, 10-08-1974,440
218, male, JANG Hyuk, Korea, 03-10-1969,438
219,, ABDULLAYEV Mammad, Azerbaijan, 11-11-1111,438
220, male, ABDULLAYEV Gunduz, Azerbaijan, 20-10-1972,436
221,, JANGJOU Yousef, Iran, 11-11-1111,434
222,, FILIPPA Carlos, , 11-11-1111,426
223,, SEOK No-Sang, , 11-11-1111,426
224,, DIJK van Frans, Netherlands, 14-07-1956,426
225,, WANG Runqian, , 11-11-1111,423
226,, KIM Maeng-Kon, Korea, 11-11-1111,415
227, male, IMAMALIEV Alekper, Azerbaijan, 03-12-1966,412
228,, STIPEK Svatopluk, , 17-03-1973,412
229,, MOON Dai-Won, , 11-11-1111,410
230,, ALAVI Mohammad, Iran, 11-11-1111,409.5
231, male, AFLAKI KHAMSEH Madjid, Iran, 26-08-1973,409
232, male, CHOU Kuei-Ming, Taiwan, 24-04-1971,407
233,, SMAILI Hassan, , 05-11-1965,405
234,, LEE Hong-Gu, Korea, 11-11-1111,405
235,, BORJI Nasser, Iran, 11-11-1111,400.5
236,, ISIK Recep, Turkey, 06-01-1962,400
237,, KIM Chong-Ki, Korea, 11-11-1111,398
238, male, PIRCHMOSER Daniel, Austria, 10-02-1957,397
239,, SOOTHO Alex, Australia, 11-11-1111,397
240,, KIM Young-Seung, Korea, 11-11-1111,395
241,, BOSHAGH Mohammad, Iran, 11-11-1111,394.3
242,, YAKOVLEV Andriy, Ukraine, 25-11-1968,393
243,, KHANLARKHANI Payam, Iran, 11-11-1111,393
244,, MIN Hyung-Keun, , 11-11-1111,392
245,, KIM Jin-Beom, Nigeria, 18-08-1965,392
246, male, DELL´ ORSO Alf, Australia, 21-04-1959,387
247,, ROBINSON Rea, , 17-09-1957,387
248,, KIM Uh-Gyu, Korea, 11-11-1111,387
249,, COOK Luke, United Kingdom of Great Britai, 21-07-1989,387
250,, PIMANTOAN P-, , 11-11-1111,383
251, male, KHODA MORADI Nader, Iran, 11-11-1111,380
252, female, KONG Fantao, China, 13-03-1978,380
253, male, PODOLYAN Viktor, Ukraine, 23-12-1976,377
254, male, BASILE Leonardo, Italy, 12-05-1983,376
255,, PYCIARZ Tomasz, Poland, 07-11-1973,376
256, female, ALONSO (KUSCU) Gülsah, Turkey, 15-09-1980,375.5
257,, BUNDELI Rene, Switzerland, 27-03-1945,374
258,, LEE Chong-Soo, , 11-11-1111,372
259,, GERMAIN Paul, Canada, 02-07-1962,372
260, male, WINKLER Boris, Germany, 30-07-1985,369.3
261,, FATAHI Rashid, Iran, 11-11-1111,368
262, male, VENERACION Victor Emanuel, Philippines, 26-10-1966,356
263, male, FARIAS BERNAL Arturo, , 11-11-1111,351
264, male, ZAS Francisco, Spain, 19-02-1972,350
265,, RODRIGUEZ SEGURA Tomas Santiago, Iceland, 02-01-1962,350
266,, YU Hong-Hap, , 11-11-1111,350
267,, SADURSKI Robert, Poland, 11-11-1111,349
268, male, KARLSSON Patrik, Sweden, 28-01-1972,344
269,, LEE Seung-Tae, Korea, 11-11-1111,344
270,, POOS Jason, United States of America, 11-11-1111,342
271,, JANG Yong-Gyu, , 11-11-1111,341
272,, KABDRASHEV Mustakhim, Kazakhstan, 11-11-1111,339
273,, PALERMO Jose, , 11-11-1111,338
274,, LABORDA Rodolfo, , 11-11-1111,337
275,, CHOUNG Young-Su, Canada, 09-12-1954,336.3
276,, KIM Byung-Min, , 11-11-1111,336
277, male, CABANATAN Jerome, Canada, 29-03-1982,333.3
278,, IZQUIERDO Antonio, , 11-11-1111,331
279,, ISMAILI Hassan, , 11-11-1111,330
280,, TKIZA Maati, , 11-11-1111,330
281,, KIM Hyun-Sung, , 11-11-1111,329
282,, PARK Kye-Hee, , 11-11-1111,329
283,, ETCHEGARAY Nestor, , 11-11-1111,328
284, male, ZOHIN Hans, France, 17-02-1980,326
285,, KARABAY Ugur, , 11-11-1111,326
286,, WHITE Robert, Canada, 11-11-1111,325
287,, GATO Pedro, Cuba, 11-11-1111,325
288, male, TRENTON Daniel, Australia, 01-03-1977,324
289,, LEE Moon-Ho, Korea, 11-11-1111,320
290, male, SAYED Osama, Egypt, 27-11-1973,320
291,, KIM Yong-In, Korea, 11-11-1111,319
292, male, KOVACIC Predrag, Serbia, 30-11-1974,317.8
293,, MAKAR Zlatko, , 23-04-1961,317
294,, PARK Chang-Dok, Korea, 11-11-1111,317
295,, DANIELYAN Gevorg, Armenia, 23-02-1971,316
296,, CHON Chong-Woo, Korea, 11-11-1111,315
297,, KRNETIC Miodrag, Slovenia, 11-11-1111,314
298, male, RACHEV IVANOV Slavcho, Bulgaria, 15-06-1981,312.8
299,, KOSTIC Dinko, Hrvatska, 11-11-1111,312.8
300,, WANG Chieh-Jen, Taiwan, 11-11-1111,310
301, male, RASHID Farooq, Denmark, 31-05-1970,306
302,, KARIMI Hossein, Iran, 11-11-1111,306
303, male, NASSR AZADANY Alireza, Iran, 21-09-1985,305
304,, BRAZIUNAS Zymantas, Lithuania, 12-12-1974,304
305,, EFRAIMIDIS Panteleimon, Greece, 31-08-1969,304
306, male, CRKVENCIC Danijel, Australia, 29-09-1968,302
307, male, SAWYER Chris, United Kingdom of Great Britai, 10-09-1958,299
308,, DUARTE William, Colombia, 11-11-1111,299
309, male, TRAN Quang Ha, Viet Nam, 26-10-1971,298
310,, PARK Hyong-Chong, Korea, 11-11-1111,297
311,, JY Yong-Seok, , 11-11-1111,296
312,, KIM Bum-Soo, , 11-11-1111,296
313, male, ZULFUGAROV Sabuhi, Azerbaijan, 25-08-1981,295
314,, PARASIDIS Kyriakos, Greece, 11-11-1111,293
315, male, WRIGHT DIAZ John, Spain, 24-05-1965,292
316,, WHANG Sonny, , 11-11-1111,289
317,, SAOUDI Abdennabi, Morocco, 01-01-1966,289
318,, JUN Shi-Jong, Korea, 11-11-1111,287
319,, CAVALLI Melchiorre, , 11-11-1111,285
320,, AU Colby, New Caledonia, 19-08-1977,285
321, male, KNUTH Sten, Denmark, 11-11-1111,284
322, male, EMERIK van Walter, Netherlands, 11-11-1111,283
323,, EPOV Oleg, , 11-11-1111,282
324, male, PARK Bong-Kwon, Korea, 20-02-1968,280.3
325, male, CONSTANZO di Geremia, Italy, 19-12-1960,280
326, female, CORSI Cristina, Italy, 23-04-1976,280
327,, YOUNG Shin-Boo, , 15-12-1944,280
328, male, CARNELI Ryan, Australia, 11-10-1985,279
329,, KHALIFEH Nemat, Iran, 11-11-1111,279
330,, HOSSEINZADEH Mohammad, Iran, 11-11-1111,279
331, male, CHO Sung-Ho, Korea, 05-01-1970,277
332, male, YAMASHITA Hironobu, Japan, 05-10-1970,277
333,, SEO In-Oh, , 11-11-1111,277
334, male, TADJOU Attada, Cote d'Ivoire, 06-08-1963,275
335,, HONG Eun-Seok, Korea, 11-11-1111,275
336,, SULTANOV Myrzagali, Kazakhstan, 11-11-1111,275
337,, MEZI Georges, Cote d'Ivoire, 30-07-1963,275
338, male, DANESH Feisal, Iran, 11-11-1111,274
339, male, DOSSANTOS Tino, Canada, 22-01-1969,274
340,, SINISALO Kim, , 11-11-1111,273
341, male, TARHANEN Mika, Finland, 13-11-1973,271
342,, KIM Hyon-Il, Korea, 11-11-1111,270
343,, HAM Chun, Korea, 11-11-1111,270
344,, SAFARPOUR-REIHANEH FOULADI Fatemeh, Iran, 23-08-1981,270
345,, CHUNG Tang-Mao, , 11-11-1111,269
346,, JORGENSEN Michael, Norway, 11-11-1111,269
347,, LEE Pen-Shan, , 11-11-1111,269
348,, CHUNG Jin-Song, , 11-11-1111,267
349,, PARK Hyen-Soo, , 11-11-1111,265
350,, BOU Juan, , 11-11-1111,265
351,, LEE Kyu-Seok, Korea, 11-11-1111,264
352,, CHONG Shin-Jong, Korea, 11-11-1111,264
353,, JAMALKANOV Elnur, , 14-02-1978,260
354,, TU Chun-Chin, , 11-11-1111,260
355, male, TORTOSA ALAMEDA Jesus, Spain, 13-12-1964,258
356, female, KHALAGZADEH Shohreh, Iran, 15-04-1981,257.5
357,, KARIMOV Gudrat, , 11-11-1111,255
358,, KIM Hong-Kong, , 11-11-1111,255
359,, SZTANTMAN Bertrand, France, 11-11-1111,255
360, male, ALONSO RIOS Angel, Spain, 11-05-1970,254
361, male, JANKOVSKY Viktor, Czech Republic, 16-08-1988,253
362, male, KIM Min-Soo, Korea, 11-11-1111,251
363,, SOUNG D--A-, , 11-11-1111,251
364, female, BACCO Carla, Canada, 11-11-1111,250.5
365, male, MORTENSEN Tommy, Denmark, 11-11-1111,250
366, male, PECHLIVANIS Ioakim, Greece, 11-11-1111,250
367,, RASTAD Neda, Iran, 11-11-1111,249
368,, MAZUR Vladislav, Moldova, 11-11-1111,248
369,, JUNG Ki-Soo, , 11-11-1111,246
370, male, DONATH Marcell, Hungary, 21-04-1974,245
371,, HA Kee-Seong, , 11-11-1111,245
372,, ESCOTO Adalberto, Dominican Republic, 11-11-1111,245
373, male, ZINELIS Theodoros, Greece, 23-03-1974,245
374,, NANSEN Jorn, , 11-11-1111,244
375,, NAM Oleg, Ukraine, 26-07-1973,243.5
376,, TAAFFE Robert, Ireland, 07-11-1981,243
377,, KRSTIC Borislav, Serbia, 20-07-1976,242.8
378,, RAHIMI Asghar, Iran, 11-11-1111,242.5
379, male, FUJI Scott, United States of America, 11-11-1111,242.3
380,, KIM Ho-Tae, Korea, 11-11-1111,240
381,, KIM Bong, Korea, 11-11-1111,240
382,, CHEN Der-Hsiung, , 11-11-1111,237
383,, FORERO Rene, Colombia, 31-07-1968,236.3
384, female, BAVEREL Myriam, France, 14-01-1981,235
385,, YOUSEFI Mehrdad, Iran, 11-11-1111,232.3
386,, KREJCI Pavel, Czech Republic, 11-11-1111,232
387,, LEE Hwan-Uk, Korea, 11-11-1111,231
388,, GAMBLUCH Leonardo, Argentina, 03-09-1973,230
389,, AGHAJANPOUR Raziyeh, Iran, 11-11-1111,229.8
390,, CAKIR Nafiz, , 11-11-1111,228
391,, KIM Jong-Ki, Korea, 11-11-1111,228
392,, PAOWONGSAKUL Tin, , 18-09-1970,227
393,, MEYER Larry, Netherlands, 11-11-1111,226.8
394,, WILLIAMS Mark, , 11-11-1111,226.3
395, male, WARWICK Richard Jaydes, United States of America, 14-09-1957,225
396,, BARE Trish, , 11-11-1111,225
397,, HOSSEINI Narges, Iran, 11-11-1111,225
398, male, ZARIC Dragoslav, Slovenia, 21-07-1975,224
399,, KIM Yoon-Kak, , 11-11-1111,223
400,, KO Bong-Soo, , 11-11-1111,223
401, male, SHAKER Hany, Egypt, 01-10-1975,222
402, male, KUUSJARVI Marcos, Finland, 09-09-1960,222
403,, PETROVIC Goran, , 11-11-1111,221
404,, MAZRAANI Sami, , 11-11-1111,220.3
405,, JI Yong-Seou, , 11-11-1111,220
406,, RYOO Byung-Kwan, , 11-11-1111,220
407,, KIM Kyong-Hoon, Korea, 11-11-1111,216
408,, LUNG Soung-Kae, , 11-11-1111,215
409,, MALDONADO Pedro, , 11-11-1111,215
410,, WANG Zhijie, China, 11-11-1111,215
411,, CHAE Chong-Ki, Korea, 11-11-1111,215
412,, ANANCHENKO Andrey, Russian Federation, 11-11-1111,214
413,, KAZERIS M-, , 11-11-1111,213
414,, DIAZ GONZALEZ German, Mexico, 11-11-1111,212.5
415, male, ALOISIO Mikael, France, 27-06-1976,211
416, male, LEE Kyung-Ho, Korea, 11-11-1111,210
417,, BA Mamadou, , 11-11-1111,210
418,, DIAO Cherif Mohamed, , 11-11-1111,210
419,, GAN Mdon-Sup, Korea, 11-11-1111,210
420,, GUZMAN Marino, , 11-11-1111,210
421, male, SALM Peter, Netherlands, 11-11-1111,208
422, male, WOZNICKI Markus, Germany, 15-03-1966,208
423,, GARCIA Osvaldo, Dominican Republic, 11-11-1111,208
424,, KUMAR Prem, India, 22-04-1975,206
425, male, SANCHEZ Yolman, Colombia, 11-11-1111,205
426,, JU Shin-Kyu, , 11-11-1111,205
427,, MEDINA Jorge, Ecuador, 11-11-1111,205
428,, K- Byung-Ok, Korea, 11-11-1111,205
429, male, BOUEDO Philipe, France, 06-05-1962,204
430,, LEE Yong-Seon, France, 27-02-1948,202.8
431,, CHOI Won-Suk, , 11-11-1111,200
432,, JEON Jeong-Bae, , 11-11-1111,200
433, male, LEE In-Jae, Korea, 11-11-1111,198
434,, FAILY Farzad, , 11-11-1111,197
435,, JANG Jong-Won, Korea, 11-11-1111,197
436,, GALE Russ, United States of America, 11-11-1111,197
437, male, MIHALCHEV Hristo, Bulgaria, 25-02-1974,196
438, male, BHANDARI Surendra, India, 27-07-1985,196
439,, PERNITSCH Rene, Austria, 18-09-1980,196
440,, BHAVSAR Naresh Kumar, India, 01-11-1970,195
441,, DIOVOL Alioune, Senegal, 19-06-1979,194
442, male, AFSHAR BAKESHLOU Hadi, Iran, 20-08-1980,193.8
443,, KIM Tae-Hyung, , 11-11-1111,193
444,, ROLEA Radu, , 11-11-1111,193
445,, PARK Yeon-Hwan, , 11-11-1111,192.5
446,, PUN Yam Bahadur, Nepal, 11-11-1111,191
447, male, LUKE Victor, Canada, 11-11-1111,190
448,, CARDENAS Roberto, , 11-11-1111,190
449,, PETERS Mario, Netherlands, 11-11-1111,189
450,, SAMANDZHIYA Lesik, Ukraine, 15-11-1958,188
451, male, BRAGINSKI Mark, Israel, 19-05-1986,188
452,, LEUNG Lee-Shan, , 11-11-1111,187
453,, GUET Karim, France, 11-11-1111,187
454,, AMMAR Rachid, France, 11-11-1111,187
455, female, LEE Moon-Ju, Korea, 11-11-1111,185
456,, LIRA Emilio, , 05-04-1976,185
457,, VICTOR John, Nigeria, 22-05-1977,185
458,, SOBIROV Pakhlavonjon, Uzbekistan, 11-11-1111,185
459,, CHEN Liang, , 11-11-1111,184
460, female, CHIN Yu-Fang, Taiwan, 19-08-1968,183
461, male, FAIRHURST Richard, United Kingdom of Great Britai, 11-11-1111,183
462,, PARK Jong-Su, Korea, 11-11-1111,182
463, female, KATALINIC Lidija, Hrvatska, 17-06-1975,181
464,, KIM Joseph, , 11-11-1111,180
465,, LU Fan, , 11-11-1111,180
466,, CHEN Chiou-Hwa, , 11-11-1111,180
467,, NELSON Sherman, United States of America, 23-10-1965,179
468,, YAO Qiang, , 11-11-1111,178
469,, VELJKO Laura, Hrvatska, 11-11-1111,178
470, male, SHOROV Rashid, Russian Federation, 11-11-1111,177
471,, KONDRATIEV Sergey, , 11-11-1111,177
472,, LOIZOU Panikos, , 11-11-1111,177
473,, MALEKI Hasan, Iran, 11-11-1111,177
474,, RATAD Seyedeh Neda, Iran, 11-11-1111,177
475,, LEE Han, , 11-11-1111,176
476,, MATINFAR Abdolrasoul, Iran, 11-11-1111,175
477,, LAY BLANCO Pedro, , 11-11-1111,174
