Id, name, nation, day of birth, points, category, weight, gender
76, TORLEY Zar, United Kingdom of Great Britai, 27-04-2010, 3.25, cadetes, -33, male
77, AMIR SAYED MOHAMED REFAAT Ali, Egypt, 11-11-1111, 3.25, cadetes, -33, male
78, AIZENBERG Dan, Israel, 11-11-1111, 3.25, cadetes, -33, male
79, DUMLU Rayyan Zeynel, Germany, 11-11-1111, 3.13, cadetes, -33, male
80, VASILIC Todor, Serbia, 11-11-1111, 3.08, cadetes, -33, male
81, CHRZANOWSKI Pawel, Poland, 11-11-1111, 3.06, cadetes, -33, male
82, TAREK AWOD Yaseen, Egypt, 11-11-1111, 3, cadetes, -33, male
83, NESHER Gal, Israel, 11-11-1111, 3, cadetes, -33, male
84, CVETKOVIC Pavle, Serbia, 11-11-1111, 3, cadetes, -33, male
85, BAMASUD Meshari, Saudi Arabia, 11-11-1111, 3, cadetes, -33, male
86, TARKHANIAN Martiros, Ukraine, 11-11-1111, 2.97, cadetes, -33, male
87, HADJIMAVROS Charalambos, Cyprus, 11-11-1111, 2.88, cadetes, -33, male
88, TELAHUN Kebar, Sweden, 11-11-1111, 2.88, cadetes, -33, male
89, HASANLI Mahammad, Azerbaijan, 11-11-1111, 2.88, cadetes, -33, male
90, MANSUR Raz, Israel, 11-11-1111, 2.83, cadetes, -33, male
91, TAYLOR Sam, United Kingdom of Great Britai, 11-11-1111, 2.75, cadetes, -33, male
92, GJIKAJ Ditjon, Albania, 11-11-1111, 2.75, cadetes, -33, male
93, ERDOGAN Yigit Efe, Turkey, 11-11-1111, 2.75, cadetes, -33, male
94, AL SHAIBANI Ali Saber, United Arab Emirates, 11-11-1111, 2.63, cadetes, -33, male
95, GIL David, United States of America, 11-11-1111, 2.63, cadetes, -33, male
96, ABDULRAHMAN Mohammed, Saudi Arabia, 11-11-1111, 2.5, cadetes, -33, male
97, OHARA Keishin, Japan, 11-11-1111, 2.5, cadetes, -33, male
98, HUYNH Enzo, Canada, 11-11-1111, 2.5, cadetes, -33, male
99, PEREZ RIERA Enol, Spain, 11-11-1111, 2.5, cadetes, -33, male
100, KYRIUSHYN Demian, Ukraine, 11-11-1111, 2.5, cadetes, -33, male
101, MOHAMED HUSSEIN HUSSEIN Ali, Egypt, 11-11-1111, 2.5, cadetes, -33, male
102, ABEIJON PRIEGUE Adrian, Spain, 11-11-1111, 2.5, cadetes, -33, male
103, BOLAT Parasat, Kazakhstan, 11-11-1111, 2.5, cadetes, -33, male
104, QUERUBIN Diego, Australia, 11-11-1111, 2.5, cadetes, -33, male
105, ALMUTAIRI Waleed, Kuwait, 11-11-1111, 2.5, cadetes, -33, male
106, ZAHRAN Fahd, Jordan, 11-11-1111, 2.5, cadetes, -33, male
107, IGNATJEV Romet, Estonia, 11-11-1111, 2.5, cadetes, -33, male
108, KASTELIC Jakob, Slovenia, 11-11-1111, 2.5, cadetes, -33, male
109, SOUPAS Georgios, Greece, 11-11-1111, 2.5, cadetes, -33, male
110, ALABDULAZIZ Mohammed Ibrahim, Saudi Arabia, 11-11-1111, 2.5, cadetes, -33, male
111, MIRZAKARIMOV Mirislom, Kazakhstan, 11-11-1111, 2.5, cadetes, -33, male
112, ALSAABRI Jasim, United Arab Emirates, 11-11-1111, 2.5, cadetes, -33, male
113, GEORGIEV Hristiyan, Bulgaria, 11-11-1111, 2.49, cadetes, -33, male
114, IVANOVIC Sergej, Serbia, 11-11-1111, 2.31, cadetes, -33, male
115, OWEN Haddad, France, 11-11-1111, 2.31, cadetes, -33, male
116, NACSA Noah, Canada, 11-11-1111, 2.31, cadetes, -33, male
117, RIOS MARTINEZ Leonardo, Mexico, 11-11-1111, 2.25, cadetes, -33, male
118, PETSAS Emmanouil, Greece, 11-11-1111, 2.25, cadetes, -33, male
119, LI Mikhail, Uzbekistan, 11-11-1111, 2.25, cadetes, -33, male
120, ISSAMEDIN Bauyrzhan, Kazakhstan, 11-11-1111, 2.25, cadetes, -33, male
121, NEVENKIC Vuk, Serbia, 11-11-1111, 2.25, cadetes, -33, male
122, BOKHAN Maksim, Belarus, 11-11-1111, 2.25, cadetes, -33, male
123, MUKACA Ahmed, Bosnia and Herzegovina, 11-11-1111, 2.19, cadetes, -33, male
124, SINSANG Ittiporn, Thailand, 11-11-1111, 2.19, cadetes, -33, male
125, KVANTIDZE Mate, Georgia, 11-11-1111, 2.13, cadetes, -33, male
126, ABOU JAOUDEH Ghassan, Lebanon, 11-11-1111, 2.13, cadetes, -33, male
127, BENITEZ LOPEZ Alan, Puerto Rico, 11-11-1111, 2.13, cadetes, -33, male
128, CORDOBA VILLARTE Alvaro, Spain, 11-11-1111, 2.13, cadetes, -33, male
129, TSITAKIS Athanasios, Greece, 11-11-1111, 2.13, cadetes, -33, male
130, MAGOMEDOV Magomedgadzhi, Russian Federation, 11-11-1111, 2.11, cadetes, -33, male
131, PARK Min-Kyu, Korea, 11-11-1111, 2.06, cadetes, -33, male
132, HOPIC Majid, Germany, 11-11-1111, 2, cadetes, -33, male
133, KRALJ Mihael, Hrvatska, 11-11-1111, 2, cadetes, -33, male
134, DULGUUN Khuslen, Mongolia, 11-11-1111, 2, cadetes, -33, male
135, ANTILLA Ken, Finland, 11-11-1111, 2, cadetes, -33, male
136, MORA VILLALOBOS Jefferson, Costa Rica, 11-11-1111, 2, cadetes, -33, male
137, YAACOUB Joechrist, Lebanon, 11-11-1111, 2, cadetes, -33, male
138, GRANDE OLIVER Hugo, Spain, 11-11-1111, 1.91, cadetes, -33, male
139, RIGAS Andreas-Marios, Greece, 11-11-1111, 1.88, cadetes, -33, male
140, JANUSAUSKAS Matas, Lithuania, 11-11-1111, 1.88, cadetes, -33, male
141, ABALO ARIAS Daniel, Spain, 11-11-1111, 1.88, cadetes, -33, male
142, FERNANDEZ JIMENEZ Jose Francisco, Costa Rica, 11-11-1111, 1.88, cadetes, -33, male
143, ETTEHADI Hani, Iran, 11-11-1111, 1.75, cadetes, -33, male
144, ISLAM MAHMOUD HUSSIEN Omar, Egypt, 11-11-1111, 1.75, cadetes, -33, male
145, OMAR Mohanad, United Arab Emirates, 11-11-1111, 1.75, cadetes, -33, male
146, BOLKO Denys, Ukraine, 11-11-1111, 1.75, cadetes, -33, male
147, SHAHEEN Abdullah, Jordan, 11-11-1111, 1.75, cadetes, -33, male
148, HACHIM Edmond, Lebanon, 11-11-1111, 1.75, cadetes, -33, male
149, BERLINGERIO Nicolo Francesco, Italy, 11-11-1111, 1.75, cadetes, -33, male
150, KHOURY Marc, Lebanon, 11-11-1111, 1.75, cadetes, -33, male
151, KASAPOGLU Muhammed Yigit, Turkey, 11-11-1111, 1.75, cadetes, -33, male
152, MEDINA TAMAYO Noel, Cuba, 11-11-1111, 1.75, cadetes, -33, male
153, EDUARDO CALIN Cetean, Romania, 11-11-1111, 1.75, cadetes, -33, male
154, CARPENTER CHAVES Jacob, Costa Rica, 11-11-1111, 1.75, cadetes, -33, male
155, LEE Youngjoo, Korea, 11-11-1111, 1.75, cadetes, -33, male
156, MORRELL Blake Tylr, United States of America, 11-11-1111, 1.75, cadetes, -33, male
157, HADJICOSTI Prodomos Angelos, Cyprus, 11-11-1111, 1.69, cadetes, -33, male
158, MEHMEDOVIC Omer, Bosnia and Herzegovina, 11-11-1111, 1.63, cadetes, -33, male
159, FERGE Patrice, France, 11-11-1111, 1.63, cadetes, -33, male
160, RIGO CALDERAN Ivan, Spain, 11-11-1111, 1.63, cadetes, -33, male
161, ISMAILOV Ekrem, Germany, 11-11-1111, 1.63, cadetes, -33, male
162, BULAVIN Mykyta, Ukraine, 11-11-1111, 1.63, cadetes, -33, male
163, KUCUK Mustafa, Turkey, 11-11-1111, 1.63, cadetes, -33, male
164, ERBAY Berke, Turkey, 11-11-1111, 1.63, cadetes, -33, male
165, SHVED Yauheni, Belarus, 11-11-1111, 1.62, cadetes, -33, male
166, JAFAR SALEHI Pouneh, Iran, 11-11-1111, 1.59, cadetes, -33, male
167, ERBULUT Berke, Turkey, 11-11-1111, 1.56, cadetes, -33, male
168, BOVSUNOVSKYI Emil, Ukraine, 11-12-2009, 1.56, cadetes, -33, male
169, FARAJ ALTAWARGHI Ziyad, Lebanon, 11-11-1111, 1.5, cadetes, -33, male
170, AL-GAADABI Abdulaziz, Canada, 11-11-1111, 1.5, cadetes, -33, male
171, AKKARI Hayssam, Canada, 11-11-1111, 1.5, cadetes, -33, male
172, JOVANOVIC Bogdan, Serbia, 11-11-1111, 1.5, cadetes, -33, male
173, MORRISON Laurey-jay, United Kingdom of Great Britai, 11-11-1111, 1.5, cadetes, -33, male
174, PETCHYOTIN Supharuek, Thailand, 11-11-1111, 1.5, cadetes, -33, male
175, PERALTA Alejo Daniel, Argentina, 11-11-1111, 1.5, cadetes, -33, male
176, KAP Utku, Turkey, 11-11-1111, 1.5, cadetes, -33, male
177, ZUNIGA GILER Carlos, Ecuador, 11-11-1111, 1.5, cadetes, -33, male
178, NICULAE Nathaniel, United States of America, 11-11-1111, 1.5, cadetes, -33, male
179, KIM Dongyeon, Korea, 11-11-1111, 1.5, cadetes, -33, male
180, LU Heng, Taiwan, 11-11-1111, 1.5, cadetes, -33, male
181, GUTIERREZ Jedrek, United States of America, 11-11-1111, 1.5, cadetes, -33, male
182, HUMAID Ahmed, United Arab Emirates, 11-11-1111, 1.5, cadetes, -33, male
183, NAVARRO CAMIN Oscar, Spain, 11-11-1111, 1.5, cadetes, -33, male
184, MOHYIDEEN Ahmed Basheer, United Arab Emirates, 11-11-1111, 1.5, cadetes, -33, male
185, HANIF Fahad, United Arab Emirates, 11-11-1111, 1.5, cadetes, -33, male
186, RIBEIRO BARBOSA Antonio Richard, United States of America, 11-11-1111, 1.5, cadetes, -33, male
187, MOHAMED Sean, United States of America, 11-11-1111, 1.5, cadetes, -33, male
188, ALMOHAMMEDSALEH Mohammed, Saudi Arabia, 11-11-1111, 1.5, cadetes, -33, male
189, ALSAABRI Jasim, United Arab Emirates, 11-11-1111, 1.5, cadetes, -33, male
190, �ZMEZ Kubilay Kaan, Switzerland, 11-11-1111, 1.5, cadetes, -33, male
191, HASSAN KAMAL Yassin, Egypt, 11-11-1111, 1.5, cadetes, -33, male
192, MORALES SANCHEZ Alejandro, Spain, 11-11-1111, 1.5, cadetes, -33, male
193, �ZUTOK Berkay-Can, Germany, 11-11-1111, 1.5, cadetes, -33, male
194, KHALDOUN Jaafar, Jordan, 11-11-1111, 1.5, cadetes, -33, male
195, BLUNT Owen, United Kingdom of Great Britai, 11-11-1111, 1.47, cadetes, -33, male
196, BAGHERI Mahan, Iran, 11-11-1111, 1.44, cadetes, -33, male
197, ALIEV Mukhammadamin, Uzbekistan, 11-11-1111, 1.42, cadetes, -33, male
198, VELEZ FIGUEROA Nilson, Puerto Rico, 11-11-1111, 1.41, cadetes, -33, male
199, ZANOSKI Jan, Hrvatska, 11-11-1111, 1.38, cadetes, -33, male
200, KOUKOUSOUDIS Evangelos, Germany, 11-11-1111, 1.34, cadetes, -33, male
201, SANTOS FONTINHA Andre Filipe, Portugal, 20-05-2007, 1.31, cadetes, -33, male
202, CAPACI Ahmet, Turkey, 11-11-1111, 1.31, cadetes, -33, male
203, GONCHAROV Danila, Russian Federation, 11-11-1111, 1.31, cadetes, -33, male
204, JAICHOO Wiswakorn, Thailand, 11-11-1111, 1.31, cadetes, -33, male
205, ADEMI Bleron, Sweden, 09-06-2005, 1.28, cadetes, -33, male
206, GARGALAS Dimitrios, Greece, 11-11-1111, 1.25, cadetes, -33, male
207, CHENG Po-Yu, Taiwan, 11-11-1111, 1.25, cadetes, -33, male
208, TAMER SALAH EL DIN ABDEL TAWAB Ahmed, Egypt, 11-11-1111, 1.25, cadetes, -33, male
209, LIMPT van Joep, Netherlands, 11-11-1111, 1.25, cadetes, -33, male
210, HASSAN Kareem, Sudan, 11-11-1111, 1.25, cadetes, -33, male
211, ZUANI Alexis, United States of America, 11-11-1111, 1.25, cadetes, -33, male
212, STAMATOV Ivan, Moldova, 11-11-1111, 1.25, cadetes, -33, male
213, DEVCIC Ivan, Hrvatska, 11-11-1111, 1.25, cadetes, -33, male
214, NUNEZ YANES Jesus Camilo, Colombia, 11-11-1111, 1.25, cadetes, -33, male
215, ABOU MRAD Raoul, Lebanon, 11-11-1111, 1.25, cadetes, -33, male
216, HASHIM Abdulazeez, United Arab Emirates, 11-11-1111, 1.25, cadetes, -33, male
217, LAM Marcus, United States of America, 11-11-1111, 1.25, cadetes, -33, male
218, MIREA David, Romania, 11-11-1111, 1.25, cadetes, -33, male
219, COHEN Lior Jonathan, Australia, 11-11-1111, 1.25, cadetes, -33, male
220, PETROV Kristian, Bulgaria, 11-11-1111, 1.25, cadetes, -33, male
221, GALSTYAN Artur, Ukraine, 27-02-2000, 1.25, cadetes, -33, male
222, KADYRGALI Dastan, Kazakhstan, 11-11-1111, 1.25, cadetes, -33, male
223, TANTAWY SHIHATA AWAAD Ziad, Egypt, 11-11-1111, 1.25, cadetes, -33, male
224, ERZAT Erasyl, Kazakhstan, 11-11-1111, 1.25, cadetes, -33, male
225, PAVLOV Aleksei, Russian Federation, 11-11-1111, 1.25, cadetes, -33, male
226, QAMBAR Yousif, Bahrain, 11-11-1111, 1.25, cadetes, -33, male
227, RODRIGUEZ ANDRADE Christhian, Cuba, 11-11-1111, 1.25, cadetes, -33, male
228, BEHBUDZADE Safar, Azerbaijan, 11-11-1111, 1.25, cadetes, -33, male
229, KALKAN JUNIOR Umit, Germany, 11-11-1111, 1.25, cadetes, -33, male
230, GORY Ryan, United States of America, 11-11-1111, 1.25, cadetes, -33, male
231, MASALEKH Hayder Salam Hamid, Iraq, 11-11-1111, 1.25, cadetes, -33, male
232, OLIVEIRA da SILVA Paulo Vinicius, Brazil, 11-11-1111, 1.25, cadetes, -33, male
233, NISIR Nuri, Turkey, 11-11-1111, 1.25, cadetes, -33, male
234, DISKAYA Ruzgar, Turkey, 11-11-1111, 1.25, cadetes, -33, male
235, KAZLOU Aliaksandr, Belarus, 11-11-1111, 1.2, cadetes, -33, male
236, STOEV Georgi, Bulgaria, 11-11-1111, 1.19, cadetes, -33, male
237, RADISIC Pavle, Serbia, 11-11-1111, 1.19, cadetes, -33, male
238, ALY OLFLA Ahmed, Egypt, 11-11-1111, 1.16, cadetes, -33, male
239, AKHMETOV Damir, Russian Federation, 11-11-1111, 1.15, cadetes, -33, male
240, BAYKARA Muhammet Efe, Turkey, 11-11-1111, 1.06, cadetes, -33, male
241, KHIN Hayden, Germany, 11-11-1111, 1.06, cadetes, -33, male
242, TAYMASKHANOV Mohmad, Russian Federation, 11-11-1111, 1.05, cadetes, -33, male
243, MACEDO MORISHITA Ives Massaharu, Brazil, 11-11-1111, 1.05, cadetes, -33, male
244, DROSDOWSKI Daniel, Germany, 16-02-2005, 1.04, cadetes, -33, male
245, BRUUN August Storm, Denmark, 11-11-1111, 1.03, cadetes, -33, male
246, BOLIC Matija, Serbia, 11-11-1111, 1, cadetes, -33, male
247, PAPASTERGIOU Alexandros, Greece, 11-11-1111, 1, cadetes, -33, male
248, MIRZAYEV Shamil, Azerbaijan, 11-11-1111, 1, cadetes, -33, male
249, MANSUROV Kamronbek, Uzbekistan, 11-11-1111, 1, cadetes, -33, male
250, BAGOV Idar, Russian Federation, 11-11-1111, 0.97, cadetes, -33, male
251, FLEGAR Jan, Hrvatska, 11-11-1111, 0.94, cadetes, -33, male
252, SARIBUDAK Onur Kaan, Turkey, 11-11-1111, 0.94, cadetes, -33, male
253, OGANOV Oleksandr, Ukraine, 05-06-2004, 0.93, cadetes, -33, male
254, MAIORKO Lev, Russian Federation, 11-11-1111, 0.91, cadetes, -33, male
255, ALDAOUD Jaafar, Jordan, 11-11-1111, 0.89, cadetes, -33, male
256, FRGOLEC Damien Pavel, Slovakia, 11-11-1111, 0.88, cadetes, -33, male
257, LIIU Lars-Lucas, Germany, 11-11-1111, 0.88, cadetes, -33, male
258, NAZER Taha, Iran, 11-11-1111, 0.88, cadetes, -33, male
259, NAVRACIUC Kirill, Moldova, 11-11-1111, 0.88, cadetes, -33, male
260, GUSEINOV Damir, Russian Federation, 11-11-1111, 0.88, cadetes, -33, male
261, AGUERO SOLIS Edwin, Costa Rica, 11-11-1111, 0.88, cadetes, -33, male
262, ALCAIDE Jonathan Adan, Mexico, 11-11-1111, 0.88, cadetes, -33, male
263, SOZAEV Artur, Russian Federation, 11-11-1111, 0.88, cadetes, -33, male
264, DOLIC Petar, Bosnia and Herzegovina, 11-11-1111, 0.88, cadetes, -33, male
265, CUEVA VARGAS Jefferson, Peru, 11-11-1111, 0.88, cadetes, -33, male
266, WU Sung-Hsuan, Taiwan, 11-11-1111, 0.87, cadetes, -33, male
267, WEST Joshua, United States of America, 11-11-1111, 0.85, cadetes, -33, male
268, SUSILUOTO Otto, Finland, 11-11-1111, 0.84, cadetes, -33, male
269, HUERTA Emiliano, Mexico, 11-11-1111, 0.83, cadetes, -33, male
270, MEHLMANN Daniel, Germany, 05-12-2006, 0.83, cadetes, -33, male
271, ALHARTHI Rayan Reda, Saudi Arabia, 11-11-1111, 0.81, cadetes, -33, male
272, HANSEN Lukas, Sweden, 11-11-1111, 0.81, cadetes, -33, male
273, HOARAU Ichem, France, 11-11-1111, 0.81, cadetes, -33, male
274, PONOMARENKO Vladyslav, Ukraine, 11-11-1111, 0.81, cadetes, -33, male
275, BIEHL Je Min, Germany, 11-11-1111, 0.81, cadetes, -33, male
276, SALAZAR Luis, Mexico, 11-11-1111, 0.76, cadetes, -33, male
277, FILIPE SANTOS FONTHINA Andre, Portugal, 11-11-1111, 0.75, cadetes, -33, male
278, RUAT Jesse, United States of America, 11-11-1111, 0.75, cadetes, -33, male
279, LIZ Jaroslav, Germany, 11-11-1111, 0.75, cadetes, -33, male
280, CRISMARU David Valeriu, Romania, 11-11-1111, 0.75, cadetes, -33, male
281, HARBISHER Rocco, United Kingdom of Great Britai, 11-11-1111, 0.75, cadetes, -33, male
282, DRACHMAN Yoav, Israel, 11-11-1111, 0.75, cadetes, -33, male
283, CIRIVELLO Antonino, Italy, 11-11-1111, 0.75, cadetes, -33, male
284, SHAMSIDDINOV Nurmukhammad, Uzbekistan, 11-11-1111, 0.75, cadetes, -33, male
285, EL GAMOUZ Saad, France, 11-11-1111, 0.75, cadetes, -33, male
286, CONHOC Jonas, France, 11-11-1111, 0.75, cadetes, -33, male
287, KOVBA Nazarii, Ukraine, 11-11-1111, 0.75, cadetes, -33, male
288, AKBURU Ata, Turkey, 11-11-1111, 0.75, cadetes, -33, male
289, HERMANN Zander, Canada, 11-11-1111, 0.75, cadetes, -33, male
290, HASSAN KAMAL Youssef, Egypt, 11-11-1111, 0.75, cadetes, -33, male
291, KAMOON Mohammad, Syrian, 11-11-1111, 0.75, cadetes, -33, male
292, ODILOV Yosinbek, Uzbekistan, 11-11-1111, 0.75, cadetes, -33, male
293, FUGAZZA Emanuele, Italy, 11-11-1111, 0.75, cadetes, -33, male
294, ABDEL NASSER AHMED Mohamed, Egypt, 11-11-1111, 0.75, cadetes, -33, male
295, ROVERETTO Filippo, Italy, 11-11-1111, 0.75, cadetes, -33, male
296, YILDIRIM Hakan, Turkey, 11-11-1111, 0.75, cadetes, -33, male
297, OZGUR Kisa, Turkey, 11-11-1111, 0.75, cadetes, -33, male
298, ABDULLAH SHEHATA ABDULLAH Ahmed, Egypt, 11-11-1111, 0.75, cadetes, -33, male
299, KAYA Sezgin Ege, Turkey, 11-11-1111, 0.75, cadetes, -33, male
300, AYOOSH Waleed, Jordan, 11-11-1111, 0.75, cadetes, -33, male
301, CHYBINSKI Tymoteusz, Poland, 11-11-1111, 0.75, cadetes, -33, male
302, EL BARKANI Daoud, Germany, 11-11-1111, 0.75, cadetes, -33, male
303, MIHAJLOVIC Andrija, Serbia, 11-11-1111, 0.75, cadetes, -33, male
304, THEODOROU Marios, Cyprus, 11-11-1111, 0.75, cadetes, -33, male
305, QUINONEZ TORRES Franco Manuelle, Colombia, 11-11-1111, 0.75, cadetes, -33, male
306, KANATBAYEV Almat, Kazakhstan, 11-11-1111, 0.75, cadetes, -33, male
307, SATTOROV Azizbek, Uzbekistan, 11-11-1111, 0.75, cadetes, -33, male
308, JAIN Dhruvank Sunil, India, 11-11-1111, 0.75, cadetes, -33, male
309, NASTOS Stergios, Greece, 11-11-1111, 0.75, cadetes, -33, male
310, REGUELIN Thiago, Brazil, 11-11-1111, 0.75, cadetes, -33, male
311, EMBOLTURA Kurt Jyrus, Philippines, 11-11-1111, 0.75, cadetes, -33, male
312, CHU Lai Fung, Hong Kong, 11-11-1111, 0.75, cadetes, -33, male
313, FUCHS Hilel, Israel, 11-11-1111, 0.75, cadetes, -33, male
314, YEMEN ALFONZO Joenis Jesus, Cuba, 11-11-1111, 0.75, cadetes, -33, male
315, SARMIENTO OBORO Abel, Cuba, 11-11-1111, 0.75, cadetes, -33, male
316, SHARIR Yoav, Israel, 11-11-1111, 0.75, cadetes, -33, male
317, MORAN Martin Sebastian, Ecuador, 11-11-1111, 0.75, cadetes, -33, male
318, ZAPATA Julio Miguel, Philippines, 11-11-1111, 0.75, cadetes, -33, male
319, MacLAURIN Collin, United States of America, 11-11-1111, 0.75, cadetes, -33, male
